student_id,first_name,last_name,gender,email,phone_number,date_of_birth,address,enrollment_year,department_id
56,Devlen,Belchem,Male,dbelchem1j@discuz.net,465-853-8570,11/19/2025,91 Alpine Place,2022,8
57,Candida,Riveles,Female,criveles1k@kickstarter.com,574-663-0308,10/6/2025,7614 Paget Way,2025,9
58,Julee,Devons,Female,jdevons1l@jigsy.com,235-894-2884,9/28/2025,2365 Colorado Place,2024,6
59,Orrin,Domenichelli,Male,odomenichelli1m@vk.com,773-274-1719,12/24/2025,2812 Cody Center,2025,6
60,Gay,Rothermel,Male,grothermel1n@e-recht24.de,556-117-2899,7/21/2025,52770 Mockingbird Trail,2023,9
61,Case,Sabben,Male,csabben1o@globo.com,520-839-4808,1/23/2026,86 Longview Street,2025,1
62,Asher,Yaus,Polygender,ayaus1p@alexa.com,452-459-0705,1/25/2026,9 Messerschmidt Way,2022,2
63,Sigismundo,Storrie,Male,sstorrie1q@go.com,926-128-4843,2/28/2026,18570 Sutteridge Trail,2022,6
64,Corena,Greatrex,Female,cgreatrex1r@narod.ru,227-382-0026,9/28/2025,9084 Reinke Point,2025,1
65,Carl,Le Marquand,Male,clemarquand1s@washingtonpost.com,842-375-3285,8/4/2025,71185 Manley Park,2023,2
66,Elspeth,Runham,Female,erunham1t@t-online.de,135-524-5981,3/11/2026,40 Bluejay Plaza,2025,7
67,Tiphani,Scrooby,Female,tscrooby1u@cnn.com,428-890-3158,6/20/2025,526 Arkansas Junction,2025,7
68,Forest,Vasile,Male,fvasile1v@xinhuanet.com,725-620-5943,11/3/2025,1 Nevada Point,2024,10
69,Garner,Alcide,Male,galcide1w@timesonline.co.uk,940-182-4647,6/13/2026,72768 Thackeray Drive,2023,3
70,Hyacinthie,Geraudy,Female,hgeraudy1x@google.ca,827-804-1673,1/19/2026,327 Spenser Junction,2024,7
71,Brandi,Croote,Female,bcroote1y@prlog.org,357-213-4390,1/14/2026,08 Lunder Point,2022,8
72,Evy,Sheer,Female,esheer1z@goo.ne.jp,752-949-9363,7/11/2025,6 Ramsey Drive,2024,3
73,Tuckie,Matzl,Male,tmatzl20@tiny.cc,409-528-4121,2/14/2026,81214 Hallows Park,2025,4
74,Blanche,Dorricott,Genderqueer,bdorricott21@mac.com,618-787-0282,12/31/2025,6 Wayridge Circle,2022,2
75,Waylan,Gilham,Male,wgilham22@nbcnews.com,586-191-8400,10/29/2025,77 Grasskamp Lane,2022,5
76,Bobina,Crutch,Female,bcrutch23@clickbank.net,591-831-5623,2/25/2026,1 Onsgard Street,2023,10
77,Eadith,Snead,Female,esnead24@berkeley.edu,321-931-7846,9/25/2025,276 Division Way,2025,8
78,Stormie,Mapham,Female,smapham25@miitbeian.gov.cn,918-962-7216,8/1/2025,18 Mandrake Alley,2025,1
79,Lana,Seabridge,Female,lseabridge26@hc360.com,164-603-9938,10/5/2025,178 Farragut Terrace,2023,10
80,Wallie,Jeandillou,Female,wjeandillou27@friendfeed.com,951-570-0756,5/13/2026,88492 Dorton Center,2025,1
81,Julio,Liffe,Male,jliffe28@redcross.org,632-833-9026,10/31/2025,0278 Almo Trail,2022,10
82,Torrence,Gresty,Male,tgresty29@newsvine.com,956-132-3048,12/23/2025,09 Crowley Terrace,2023,2
83,Dallon,Briztman,Polygender,dbriztman2a@google.ru,866-606-6101,12/26/2025,86318 Loeprich Court,2024,2
84,Jenica,Sabates,Agender,jsabates2b@tinyurl.com,879-834-0947,12/1/2025,3 Meadow Valley Court,2025,3
85,Ariella,Piche,Female,apiche2c@tripadvisor.com,402-366-0212,5/5/2026,77 Boyd Center,2022,3
86,Godiva,Swinford,Female,gswinford2d@mozilla.com,783-161-9773,11/4/2025,664 Blue Bill Park Pass,2022,4
87,Brittaney,Sleford,Female,bsleford2e@columbia.edu,498-740-4966,9/27/2025,2 Miller Drive,2024,10
88,Heloise,Greggersen,Female,hgreggersen2f@nbcnews.com,337-280-9619,2/21/2026,496 Manufacturers Circle,2023,9
89,Lancelot,Beldam,Male,lbeldam2g@miibeian.gov.cn,453-176-8638,9/13/2025,45 Declaration Junction,2025,1
90,Town,Soper,Male,tsoper2h@sitemeter.com,556-821-6394,9/24/2025,40066 Lyons Park,2025,10
91,Gilberta,Merioth,Female,gmerioth2i@oaic.gov.au,115-229-3271,3/2/2026,230 Grasskamp Way,2024,1
92,Ronald,Strivens,Male,rstrivens2j@topsy.com,466-275-7351,1/21/2026,9 Transport Way,2023,9
93,Darryl,Yewen,Male,dyewen2k@netscape.com,616-179-5797,7/16/2025,21 Scott Pass,2025,6
94,Waylen,Ollerhead,Genderqueer,wollerhead2l@latimes.com,963-704-6598,8/9/2025,9425 Linden Terrace,2025,5
95,Natty,Rogeon,Female,nrogeon2m@nba.com,366-980-0800,5/16/2026,600 Arapahoe Lane,2023,9
96,Garey,Glenn,Male,gglenn2n@mysql.com,954-146-5379,4/7/2026,728 Melrose Parkway,2022,6
97,Chad,Waby,Male,cwaby2o@naver.com,879-766-6890,5/29/2026,046 Scoville Center,2024,1
98,Petunia,Mines,Female,pmines2p@baidu.com,919-905-1749,8/13/2025,38719 Canary Place,2023,9
99,Britni,Larvin,Female,blarvin2q@google.com.au,873-892-3466,7/23/2025,29 Anhalt Way,2022,3
100,Amery,Hollier,Agender,ahollier2r@behance.net,749-249-9185,9/29/2025,4439 Derek Park,2023,9
